canonical_id,canonical_name,scientific_name,authorship,rank,status,is_hybrid,accepted_canonical_id,authority_mappings_count,authorities
76,Cynorkis saxicola,Cynorkis saxicola Schltr.,Schltr.,species,accepted,False,,2,GBIF
77,Diuris chryseopsis,Diuris chryseopsis D. L. Jones,D. L. Jones,species,accepted,False,,2,GBIF
78,Eurystyles uxoris,Eurystyles uxoris Bogar&iacute;n,Bogar&iacute;n,species,accepted,False,,1,GBIF
79,Eriochilus collinus ssp,Eriochilus collinus ssp. collinus D. L. Jones & R. J. Bates,. collinus D. L. Jones & R. J. Bates,subspecies,accepted,False,,2,GBIF
80,Caladenia multiplex,Caladenia multiplex A. P. Br. & R. D. Phillips,A. P. Br. & R. D. Phillips,species,accepted,False,,2,GBIF
81,Cynorkis schlechteri,Cynorkis schlechteri H. Perrier,H. Perrier,species,accepted,False,,2,GBIF
82,Cynorkis schmidtii,Cynorkis schmidtii (Kraenzl.) Schltr.,(Kraenzl.) Schltr.,species,accepted,False,,2,GBIF
83,Cynorkis siederi,Cynorkis siederi Hermans & Andriant.,Hermans & Andriant.,species,accepted,False,,2,GBIF
84,Bulbophyllum burttii,Bulbophyllum burttii Summerh.,Summerh.,species,accepted,False,,2,GBIF
85,Holothrix macowaniana,Holothrix macowaniana Rchb.f.,Rchb.f.,species,accepted,False,,1,GBIF
86,Cheirostylis thailandica,Cheirostylis thailandica Seidenf.,Seidenf.,species,accepted,False,,2,GBIF
87,Holothrix majubensis,Holothrix majubensis C. Archer & R. H. Archer,C. Archer & R. H. Archer,species,accepted,False,,3,GBIF
88,Holothrix micrantha,Holothrix micrantha Schltr.,Schltr.,species,accepted,False,,2,GBIF
89,Holothrix mundii,Holothrix mundii Sond.,Sond.,species,accepted,False,,2,GBIF
90,Pterostylis anatona,Pterostylis anatona D. L. Jones,D. L. Jones,species,accepted,False,,1,GBIF
91,Eriochilus cordatus,Eriochilus cordatus D. L. Jones,D. L. Jones,species,accepted,False,,0,
92,Pterostylis oblonga,Pterostylis oblonga D. L. Jones,D. L. Jones,species,accepted,False,,1,GBIF
93,Palmorchis misas-urretae,Palmorchis misas-urretae Szlach. & Baranow,Szlach. & Baranow,species,accepted,False,,1,GBIF
94,Microchilus croatii,Microchilus croatii Ormerod,Ormerod,species,accepted,False,,1,GBIF
95,Cynorkis cinnabarina,Cynorkis cinnabarina (Rolfe) Hermans & P. J. Cribb,(Rolfe) Hermans & P. J. Cribb,species,accepted,False,,3,GBIF
96,Goodyera hispaniolae,Goodyera hispaniolae Dod,Dod,species,accepted,False,,1,GBIF
97,Microchilus schultesianus,Microchilus schultesianus (Garay) Ormerod,(Garay) Ormerod,species,accepted,False,,1,GBIF
98,Goodyera rhombodoides,Goodyera rhombodoides Aver.,Aver.,species,accepted,False,,1,GBIF
99,Habenaria anguiceps,Habenaria anguiceps Bolus,Bolus,species,accepted,False,,2,GBIF
100,Macodes celebica,Macodes celebica Rolfe,Rolfe,species,accepted,False,,2,GBIF
101,Zeuxine eryliae,Zeuxine eryliae Ormerod,Ormerod,species,accepted,False,,1,GBIF
102,Zeuxine mooneyi,Zeuxine mooneyi S. Misra,S. Misra,species,accepted,False,,1,GBIF
103,Goodyera x,Goodyera x maximovelutina N. S. Lee & J. H. So,maximovelutina N. S. Lee & J. H. So,species,accepted,True,,4,GBIF
104,Habenaria angustissima,Habenaria angustissima Summerh.,Summerh.,species,accepted,False,,2,GBIF
105,Zeuxine boninensis,Zeuxine boninensis Tuyama var. subactinomorpha Suetsugu,Tuyama var. subactinomorpha Suetsugu,variety,accepted,False,,4,GBIF
106,Cynorkis lancilabia,Cynorkis lancilabia Schltr.,Schltr.,species,accepted,False,,2,GBIF
107,Cynorkis latipetala,Cynorkis latipetala H. Perrier,H. Perrier,species,accepted,False,,2,GBIF
108,Anoectochilus monicae,Anoectochilus monicae J. J. Wood,J. J. Wood,species,accepted,False,,1,GBIF
109,Zeuxine bougainvilleana,Zeuxine bougainvilleana Ormerod,Ormerod,species,accepted,False,,2,GBIF
110,Eurystyles barrerorum,Eurystyles barrerorum Szlach. & Kolan.,Szlach. & Kolan.,species,accepted,False,,1,GBIF
111,Pterichis avicula,Pterichis avicula Kolan.,Kolan.,species,accepted,False,,0,
112,Pterichis bangii,Pterichis bangii Rolfe,Rolfe,species,accepted,False,,1,GBIF
113,Pteroglossa acalcarata,Pteroglossa acalcarata Damian & Salazar,Damian & Salazar,species,accepted,False,,1,GBIF
114,Sarcoglottis neillii,Sarcoglottis neillii Salazar & Tobar,Salazar & Tobar,species,accepted,False,,1,GBIF
115,Glomera geminata,Glomera geminata Ormerod,Ormerod,species,accepted,False,,1,GBIF
116,Spiranthes sylvatica,Spiranthes sylvatica P. M. Br.,P. M. Br.,species,accepted,False,,2,GBIF
117,Spiranthes x,Spiranthes x folsomii P. M. Br.,folsomii P. M. Br.,species,accepted,True,,0,
118,Deiregyne tamayoi,Deiregyne tamayoi Szlach.,Szlach.,species,accepted,False,,2,GBIF
119,Neottia bicallosa,Neottia bicallosa X. H. Jin,X. H. Jin,species,accepted,False,,1,GBIF
120,Bulbophyllum calyptropus,Bulbophyllum calyptropus Schltr.,Schltr.,species,accepted,False,,2,GBIF
121,Epipactis x,Epipactis x lachmanii Lachmair,lachmanii Lachmair,species,accepted,True,,0,
122,Cephalanthera ericiflora,Cephalanthera ericiflora Szlach. & Mytnik,Szlach. & Mytnik,species,accepted,False,,2,GBIF
123,Palmorchis pabstii,Palmorchis pabstii Veyret,Veyret,species,accepted,False,,2,GBIF
